star,title
9.6,肖申克的救赎
9.6,霸王别姬
9.4,这个杀手不太冷
9.4,阿甘正传
9.5,美丽人生
9.3,泰坦尼克号
9.3,千与千寻
9.5,辛德勒的名单
9.3,盗梦空间
9.3,忠犬八公的故事
9.3,机器人总动员
9.2,三傻大闹宝莱坞
9.2,海上钢琴师
9.3,放牛班的春天
9.2,楚门的世界
9.2,大话西游之大圣娶亲
9.2,星际穿越
9.2,龙猫
9.3,教父
9.3,熔炉
9.1,无间道
9.2,疯狂动物城
9.0,当幸福来敲门
9.0,怦然心动
9.2,触不可及
9.1,蝙蝠侠：黑暗骑士
9.2,乱世佳人
9.2,活着
9.0,少年派的奇幻漂流
9.6,控方证人
9.2,天堂电影院
9.2,指环王3：王者无敌
9.2,鬼子来了
9.4,十二怒汉
9.1,天空之城
9.0,摔跤吧！爸爸
9.0,飞屋环游记
9.0,大话西游之月光宝盒
9.0,搏击俱乐部
9.0,哈尔的移动城堡
9.0,罗马假日
9.0,闻香识女人
9.2,辩护人
9.1,窃听风暴
9.1,末代皇帝
9.1,两杆大烟枪
9.1,飞越疯人院
9.0,死亡诗社
9.0,寻梦环游记
9.2,素媛
9.0,指环王2：双塔奇兵
9.2,教父2
8.9,V字仇杀队
9.0,指环王1：魔戒再现
9.0,狮子王
9.1,饮食男女
9.3,海豚湾
9.0,美丽心灵
8.9,情书
9.1,钢琴家
8.8,本杰明·巴顿奇事
8.8,看不见的客人
9.1,美国往事
8.9,黑客帝国
8.8,西西里的美丽传说
9.2,小鞋子
8.9,哈利·波特与魔法石
9.3,大闹天宫
9.0,拯救大兵瑞恩
8.8,让子弹飞
8.8,致命魔术
8.8,七宗罪
9.0,音乐之声
8.9,被嫌弃的松子的一生
8.8,低俗小说
8.9,猫鼠游戏
8.8,沉默的羔羊
8.7,天使爱美丽
8.9,勇敢的心
8.7,蝴蝶效应
8.7,剪刀手爱德华
8.9,春光乍泄
8.8,心灵捕手
8.7,禁闭岛
8.8,布达佩斯大饭店
9.0,穿条纹睡衣的男孩
8.8,入殓师
8.7,阿凡达
8.8,幽灵公主
8.8,阳光灿烂的日子
8.7,致命ID
8.7,加勒比海盗
8.8,第六感
8.7,断背山
9.1,狩猎
8.7,重庆森林
9.2,摩登时代
8.9,玛丽和马克思
8.7,喜剧之王
8.7,告白
8.7,消失的爱人
8.8,大鱼
9.0,一一
8.7,射雕英雄传之东成西就
8.8,阳光姐妹淘
8.8,爱在黎明破晓前
8.8,甜蜜蜜
9.0,小森林 夏秋篇
8.8,请以你的名字呼唤我
8.8,侧耳倾听
8.7,驯龙高手
8.9,红辣椒
8.7,倩女幽魂
8.7,恐怖直播
8.8,风之谷
8.8,超脱
8.8,爱在日落黄昏时
8.9,上帝之城
8.8,菊次郎的夏天
8.7,幸福终点站
8.7,哈利·波特与死亡圣器(下)
9.0,小森林 冬春篇
8.8,7号房的礼物
8.7,杀人回忆
8.7,借东西的小人阿莉埃蒂
8.5,神偷奶爸
8.7,蝙蝠侠：黑暗骑士崛起
8.8,萤火之森
8.5,唐伯虎点秋香
8.6,超能陆战队
8.6,怪兽电力公司
8.7,岁月神偷
8.7,电锯惊魂
9.1,无人知晓
9.2,七武士
8.8,谍影重重3
8.6,真爱至上
8.7,疯狂原始人
8.9,喜宴
8.6,英雄本色
8.6,东邪西毒
8.7,萤火虫之墓
8.5,贫民窟的百万富翁
8.7,血战钢锯岭
8.5,黑天鹅
8.6,记忆碎片
8.5,傲慢与偏见
8.7,时空恋旅人
8.7,心迷宫
8.8,纵横四海
8.8,荒蛮故事
8.7,雨人
8.8,教父3
8.7,达拉斯买家俱乐部
9.1,完美的世界
8.8,玩具总动员3
8.6,花样年华
8.9,卢旺达饭店
8.6,海边的曼彻斯特
8.6,被解救的姜戈
8.5,恋恋笔记本
8.8,你看起来好像很好吃
8.7,三块广告牌
9.0,海洋
8.9,虎口脱险
8.7,头脑特工队
8.7,二十二
8.4,你的名字。
8.7,无敌破坏王
8.5,冰川时代
9.0,雨中曲
8.9,我是山姆
8.8,燃情岁月
8.6,爆裂鼓手
8.6,人工智能
8.9,未麻的部屋
8.6,穿越时空的少女
8.6,模仿游戏
8.8,一个叫欧维的男人决定去死
8.8,魂断蓝桥
8.8,房间
8.5,猜火车
9.1,忠犬八公物语
8.6,魔女宅急便
8.4,恐怖游轮
8.7,罗生门
8.5,完美陌生人
8.5,阿飞正传
8.9,哪吒闹海
8.5,香水
8.6,黑客帝国3：矩阵革命
8.7,海街日记
8.5,朗读者
8.7,浪潮
8.7,可可西里
8.6,谍影重重2
8.5,谍影重重
8.8,牯岭街少年杀人事件
8.6,战争之王
8.9,地球上的星星
9.1,天书奇谭
8.9,惊魂记
8.5,青蛇
8.4,疯狂的石头
9.1,海蒂和爷爷
8.7,一次别离
8.6,终结者2：审判日
8.3,初恋这件小事
8.4,源代码
8.9,追随
8.8,步履不停
8.5,小萝莉的猴神大叔
8.5,新龙门客栈
8.5,再次出发之纽约遇见你
8.8,爱在午夜降临前
8.6,撞车
8.7,梦之安魂曲
8.5,无耻混蛋
9.3,城市之光
9.2,东京物语
8.5,彗星来的那一夜
8.7,绿里奇迹
8.6,血钻
8.7,2001太空漫游
8.3,功夫
8.5,这个男人来自地球
8.5,E.T. 外星人
8.8,聚焦
8.7,末路狂花
8.6,奇迹男孩
8.4,变脸
8.5,发条橙
8.6,勇闯夺命岛
8.6,黑鹰坠落
9.1,黄金三镖客
8.3,秒速5厘米
8.6,疯狂的麦克斯4：狂暴之路
8.6,非常嫌疑犯
9.0,我爱你
8.4,国王的演讲
8.6,卡萨布兰卡
8.7,千钧一发
8.6,遗愿清单
8.5,美国丽人
8.3,驴得水
8.9,四个春天
8.7,新世界
8.5,荒岛余生
8.4,釜山行
8.7,枪火
